"No.","Time","Source","Destination","Source Port","Destination Port","Protocol","ICMP Type","Length","Flags"
"306","27.147778","192.168.42.42","54.187.174.239","51939","443","TLSv1.2","","571","0x018"
"307","27.148080","192.168.42.42","34.160.144.191","51933","443","TLSv1.2","","100","0x018"
"308","27.162551","192.168.42.42","192.168.42.129","57289","53","DNS","","97",""
"309","27.163866","192.168.42.42","192.168.42.129","57959","53","DNS","","84",""
"310","27.164360","192.168.42.42","192.168.42.129","49856","53","DNS","","84",""
"311","27.174665","34.117.237.239","192.168.42.42","443","51932","TLSv1.3","","340","0x018"
"312","27.174761","34.117.237.239","192.168.42.42","443","51932","TLSv1.3","","921","0x018"
"313","27.174795","192.168.42.42","34.117.237.239","51932","443","TCP","","54","0x010"
"314","27.181289","34.117.237.239","192.168.42.42","443","51932","TLSv1.3","","248","0x018"
"315","27.181386","34.117.237.239","192.168.42.42","443","51932","TLSv1.3","","93","0x018"
"316","27.181423","192.168.42.42","34.117.237.239","51932","443","TCP","","54","0x010"
"317","27.181538","192.168.42.42","34.117.237.239","51932","443","TLSv1.3","","93","0x018"
"318","27.181869","34.120.5.221","192.168.42.42","443","51931","TCP","","54","0x010"
"319","27.198568","34.160.144.191","192.168.42.42","443","51933","TCP","","54","0x010"
"320","27.202289","192.168.42.129","192.168.42.42","53","57289","DNS","","181",""
"321","27.208376","192.168.42.42","192.168.42.129","60086","53","DNS","","76",""
"322","27.210519","192.168.42.129","192.168.42.42","53","57959","DNS","","169",""
"323","27.216679","192.168.42.42","192.168.42.129","53006","53","DNS","","103",""
"324","27.217130","192.168.42.129","192.168.42.42","53","53006","DNS","","119",""
"325","27.227423","192.168.42.129","192.168.42.42","53","49856","DNS","","165",""
"326","27.237027","34.117.237.239","192.168.42.42","443","51932","TCP","","54","0x010"
"327","27.262658","192.168.42.129","192.168.42.42","53","60086","DNS","","194",""
"328","27.272728","192.168.42.42","35.244.181.201","51944","443","TCP","","66","0x002"
"329","27.273546","192.168.42.42","192.168.42.129","57702","53","DNS","","103",""
